"stockid","commonname","region","year","sst","prodbest","TBbest","R","UdivUmsypref","sst.z","prodbest.div","n.obs"
"ACMACKSARG","Argentine chub mackerel","South America",1991,8.88263700325481,-3821.7231,193013.5056,256380330.1,0.00601808650681389,-0.895299274411676,-0.0276659506358221,28
"ACMACKSARG","Argentine chub mackerel","South America",1992,8.81214644752368,-1924.2378,188948.7825,275498521.3,0.0544677936174247,-1.21862024957586,-0.0139298077315918,28
"ACMACKSARG","Argentine chub mackerel","South America",1993,9.34086466116536,-894.066699999996,184871.5447,273512545.8,0.111700091296163,1.20646615595237,-0.00647226513802956,28
"ACMACKSARG","Argentine chub mackerel","South America",1994,9.23596946338211,42.7752000000037,179657.478,263092839.8,0.160572743200522,0.725340460665181,0.000309655236832182,28
"ACMACKSARG","Argentine chub mackerel","South America",1995,8.92424046290844,-594.790800000017,173665.2532,231083721,0.282378708260917,-0.704475539148161,-0.00430576796928108,28
"ACMACKSARG","Argentine chub mackerel","South America",1996,9.16430437083196,-1129.51669999998,162811.4624,210856389.9,0.236611598636048,0.39663220509509,-0.00817671831445247,28
"ACMACKSARG","Argentine chub mackerel","South America",1997,9.315399096269,-3491.12610000002,153622.9457,168982051.5,0.275936688031528,1.08966254744057,-0.0252727159500464,28
"ACMACKSARG","Argentine chub mackerel","South America",1998,9.58728066959766,-3223.6059,141263.8196,174952977.8,0.0972851953769039,2.33670925470571,-0.0233361024242559,28
"ACMACKSARG","Argentine chub mackerel","South America",1999,9.38920715521482,751.775200000004,135165.2137,214702033.7,0.23128776754426,1.4282000060522,0.00544219846080303,28
"ACMACKSARG","Argentine chub mackerel","South America",2000,9.321064710015,844.851800000004,129376.9889,185900765.4,0.373685082645123,1.11564917419164,0.00611599207524626,28
"ACMACKSARG","Argentine chub mackerel","South America",2001,9.01300544790949,3429.6361,120107.8407,201286655.7,0.133086731947218,-0.297334735485867,0.0248275818416655,28
"ACMACKSARG","Argentine chub mackerel","South America",2002,8.92624720399227,3848.2326,120193.4768,192822943.8,0.411264753911294,-0.69527116449972,0.0278578563545751,28
"ACMACKSARG","Argentine chub mackerel","South America",2003,8.99885440595222,11774.551,113700.7094,285651670.6,0.0159757138683253,-0.362241709728846,0.0852375062769381,28
"ACMACKSARG","Argentine chub mackerel","South America",2004,9.27947754089278,18883.1976,125095.2604,360011591.3,0.0761563803966637,0.924900159157616,0.136697923679524,28
"ACMACKSARG","Argentine chub mackerel","South America",2005,9.08820075177986,10079.6345,141985.458,232481600.3,0.0125912134644544,0.0475656376629625,0.0729677852652718,28
"ACMACKSARG","Argentine chub mackerel","South America",2006,9.16178563969705,9335.70329999999,151691.0925,267113273,0.0270375328382373,0.38507947156548,0.067582370540786,28
"ACMACKSARG","Argentine chub mackerel","South America",2007,8.79480407434682,12561.9716,160168.7958,327236900.7,0.235501666233253,-1.29816499069822,0.0909377464249568,28
"ACMACKSARG","Argentine chub mackerel","South America",2008,8.93406256280764,15955.2919,164839.7674,357889842.5,0.355117531643578,-0.659424242777591,0.115502433466603,28
"ACMACKSARG","Argentine chub mackerel","South America",2009,9.00464201154131,6247.32430000001,168549.0593,222429684.4,0.334086409226255,-0.335695539628164,0.045225193235421,28
"ACMACKSARG","Argentine chub mackerel","South America",2010,8.71772590751198,11653.3345,163016.3836,301150287.8,0.74764886925403,-1.65170154331051,0.0843600042660659,28
"ACMACKSARG","Argentine chub mackerel","South America",2011,9.03433111580935,-11280.766,149172.7181,178900928.3,0.851256161395484,-0.199519706651231,-0.0816629324323001,28
"ACMACKSARG","Argentine chub mackerel","South America",2012,9.15454155969299,14324.1081,111326.9521,138992284.6,0.863435709932212,0.351852850115463,0.10369408176034,28
"ACMACKSARG","Argentine chub mackerel","South America",2013,9.04215882061306,7605.2738,105542.0602,224712818.9,0.7969900837196,-0.163616157244036,0.0550555663027264,28
"ACMACKSARG","Argentine chub mackerel","South America",2014,8.88710494374587,8515.23879999999,95550.334,235553012.4,0.332031631511342,-0.874806048594946,0.0616429213024452,28
"ACMACKSARG","Argentine chub mackerel","South America",2015,8.82901925932277,-13449.9696,97428.5728,200094588.5,0.797174541950562,-1.14122925856919,-0.0973660794542932,28
"ACMACKSARG","Argentine chub mackerel","South America",2016,8.80234546793832,21055.6664,67730.6032,164023895.6,0.731304920979244,-1.26357467282073,0.152424707909042,28
"ACMACKSARG","Argentine chub mackerel","South America",2017,9.31390726506108,17959.4417,78424.2696,303016418.9,0.331336146268143,1.08281992411434,0.130010734560838,28
"ACMACKSARG","Argentine chub mackerel","South America",2018,9.22392526118442,26071.4881,90947.7113,211084354.4,0.0466724976520137,0.670096986426088,0.18873489363398,28
"ALBANPAC","Albacore tuna","Pacific Ocean",1994,21.687178759656,87223,902294,189594000,0.441,0.533730510423336,0.115112532361614,22
"ALBANPAC","Albacore tuna","Pacific Ocean",1995,21.5829914195551,56391,916529,163714000,0.428,-0.123425955223285,0.0744220080988243,22
"ALBANPAC","Albacore tuna","Pacific Ocean",1996,21.5617346844344,42463,905067,170831000,0.519,-0.257501754735762,0.0560405335940199,22
"ALBANPAC","Albacore tuna","Pacific Ocean",1997,21.736338411392,36787,863514,153239000,0.623,0.843802568659619,0.0485496340183974,22
"ALBANPAC","Albacore tuna","Pacific Ocean",1998,21.540432856844,39101,796695,156442000,0.623,-0.391861972758062,0.0516035349377051,22
"ALBANPAC","Albacore tuna","Pacific Ocean",1999,21.3388514139648,93136,743767,256880000,0.792,-1.66332689751908,0.122916212627762,22
"ALBANPAC","Albacore tuna","Pacific Ocean",2000,21.4552884765909,103098,717837,156185000,0.61,-0.928905916317905,0.136063559627823,22
"ALBANPAC","Albacore tuna","Pacific Ocean",2001,21.5274092790012,93894,739902,199342000,0.649,-0.474007542238561,0.123916582937543,22
"ALBANPAC","Albacore tuna","Pacific Ocean",2002,21.6125897255179,68032,745274,139882000,0.753,0.0632638874850897,0.0897852149275454,22
"ALBANPAC","Albacore tuna","Pacific Ocean",2003,21.6267822199311,67273,709236,186757000,0.662,0.152782340094173,0.0887835248680145,22
"ALBANPAC","Albacore tuna","Pacific Ocean",2004,21.7463764760075,112276,686419,249480000,0.688,0.907117161951531,0.148176222824628,22
"ALBANPAC","Albacore tuna","Pacific Ocean",2005,21.6806612580348,110023,712443,170586000,0.532,0.492621693113228,0.145202826640013,22
"ALBANPAC","Albacore tuna","Pacific Ocean",2006,21.5673713485869,79724,763458,173815000,0.545,-0.221948775948635,0.105215728993468,22
"ALBANPAC","Albacore tuna","Pacific Ocean",2007,21.4591644429865,56331,781779,149597000,0.675,-0.904458451059372,0.0743428231138811,22
"ALBANPAC","Albacore tuna","Pacific Ocean",2008,21.4586376905929,63612,749531,187181000,0.506,-0.907780915582527,0.083951921036733,22
