"stockid","stocklong","assessid","scientificname","commonname","areaid","region"
"ALBANATL","Albacore tuna Northern Atlantic","ICCAT-ALBANATL-1930-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-NATL","Atlantic Ocean"
"ALBASATL","Albacore tuna South Atlantic","ICCAT-ALBASATL-1950-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-SATL","Atlantic Ocean"
"ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands","AFSC-ALSKABSAI-1950-2020-SISIMP2021-2","Bathyraja parmifera","Alaska skate","USA-NMFS-BSAI","US Alaska"
"ANCHMEDGSA6","Anchovy Northern Spain","STECF-ANCHMEDGSA6-2002-2009-OSIO","Engraulis encrasicolus","Anchovy","multinational-GFCM-GSA6","Mediterranean-Black Sea"
"ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Atheresthes stomias","Arrowtooth flounder","USA-NMFS-PCOAST","US West Coast"
"AUROCKPCOAST","Aurora rockfish Pacific Coast","NWFSC-AUROCKPCOAST-1916-2013-SISIMP2016","Sebastes aurora","Aurora rockfish","USA-NMFS-PCOAST","US West Coast"
"BGRDRNSWWA","Blue grenadier New South Wales to Western Australia","CSIRO-BGRDRNSWWA-1960-2020-MOESENEDER","Macruronus novaezelandiae","Blue grenadier","Australia-AFMA-NSWWA","Australia"
"BGROCKPCOAST","Blackgill rockfish Pacific Coast","NWFSC-BGROCKPCOAST-1950-2011-STACHURA","Sebastes melanostomus","Blackgill rockfish","USA-NMFS-PCOAST","US West Coast"
"BIGEYEATL","Bigeye tuna Atlantic Ocean","ICCAT-BIGEYEATL-1950-2010-CHING","Thunnus obesus","Bigeye tuna","multinational-ICCAT-ATL","Atlantic Ocean"
"BIGEYECWPAC","Bigeye tuna Central Western Pacific Ocean","SPC-BIGEYECWPAC-1952-2012-PONS","Thunnus obesus","Bigeye tuna","multinational-WCPFC-CWPAC","Pacific Ocean"
"BIGHTREDSE","Bight redfish Southeast Australia","CSIRO-BIGHTREDSE-1958-2007-FULTON","Centroberyx gerrardi","Bight redfish","Australia-AFMA-SE","Australia"
"BLACKROCKCAL","Black rockfish California","SWFSC-BLACKROCKCAL-1916-2019-SISIMP2021-2","Sebastes melanops","Black rockfish","USA-NMFS-CAL","US West Coast"
"BLACKROCKORECOAST","Black rockfish Oregon Coast","NWFSC-BLACKROCKORECOAST-1892-2019-SISIMP2021-2","Sebastes melanops","Black rockfish","USA-NMFS-ORECOAST","US West Coast"
"BLACKROCKWASH","Black rockfish Washington","NWFSC-BLACKROCKWASH-1940-2019-SISIMP2021-2","Sebastes melanops","Black rockfish","USA-NMFS-WASH","US West Coast"
"BLKMARLINIO","Black marlin Indian Ocean","IOTC-BLKMARLINIO-1950-2014-PONS","Istiompax indica","Black marlin","multinational-IOTC-IO","Indian Ocean"
"BLSHARIO","Blue shark Indian Ocean","IOTC-BLSHARIO-1970-2019-SMITH","Prionace glauca","Blue shark","multinational-IOTC-IO","Indian Ocean"
"BLUEROCKCAL","Blue rockfish California","NWFSC-BLUEROCKCAL-1916-2007-BRANCH","Sebastes mystinus","Blue rockfish","USA-NMFS-CAL","US West Coast"
"BMARLINATL","Blue marlin Atlantic Ocean","ICCAT-BMARLINATL-1956-2010-CHING","Makaira nigricans","Blue marlin","multinational-ICCAT-ATL","Atlantic Ocean"
"BMARLINIO","Indo Pacific blue marlin Indian Ocean","IOTC-BMARLINIO-1950-2014-PONS","Makaira mazara","Indo Pacific blue marlin","multinational-IOTC-IO","Indian Ocean"
"BOCACCBCW","Bocaccio British Columbia Waters","DFO-PAC-BOCACCBCW-1935-2012-CHING","Sebastes paucispinis","Bocaccio","Canada-DFO-BCW","Canada West Coast"
"BOCACCSPCOAST","Bocaccio Southern Pacific Coast","PFMC-BOCACCSPCOAST-1930-2009-CHING","Sebastes paucispinis","Bocaccio","USA-NMFS-SPCOAST","US West Coast"
"BRNROCKPCOAST","Brown rockfish Pacific Coast","SWFSC-BRNROCKPCOAST-1916-2012-SISIMP2016","Sebastes auriculatus","Brown rockfish","USA-NMFS-PCOAST","US West Coast"
"CABEZSCAL","Cabezon Southern California","PFMC-CABEZSCAL-1930-2009-CHING","Scorpaenichthys marmoratus","Cabezon","USA-NMFS-SCAL","US West Coast"
"CALSCORPSCAL","California scorpionfish Southern California","SWFSC-CALSCORPSCAL-1990-2005-STANTON","Scorpaena guttata","California scorpionfish","USA-NMFS-SCAL","US West Coast"
"CHAKESA","Shallow water cape hake South Africa","MARAM-CHAKESA-1917-2015-Rademeyer","Merluccius capensis","Shallow water cape hake","South Africa-DETMCM-SA","Southern Africa"
