"id_timeseries","variable","E_opti","rho_opti","method_opti","stocklong","assessid","scientificname","commonname","areaid","region"
"ALBANATL","sst.z",6,0.672833062954344,"positive_range_top_20_percent","Albacore tuna Northern Atlantic","ICCAT-ALBANATL-1930-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-NATL","Atlantic Ocean"
"ALBANATL","prodbest.divTB",3,0.464311354704804,"positive_range_top_20_percent","Albacore tuna Northern Atlantic","ICCAT-ALBANATL-1930-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-NATL","Atlantic Ocean"
"ALBANATL","UdivUmsypref",2,0.763981948040356,"positive_range_top_20_percent","Albacore tuna Northern Atlantic","ICCAT-ALBANATL-1930-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-NATL","Atlantic Ocean"
"ALBASATL","sst.z",3,0.692783722165152,"positive_range_top_20_percent","Albacore tuna South Atlantic","ICCAT-ALBASATL-1950-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-SATL","Atlantic Ocean"
"ALBASATL","prodbest.divTB",2,0.9873083641783,"positive_range_top_20_percent","Albacore tuna South Atlantic","ICCAT-ALBASATL-1950-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-SATL","Atlantic Ocean"
"ALBASATL","UdivUmsypref",2,0.861038333048327,"positive_range_top_20_percent","Albacore tuna South Atlantic","ICCAT-ALBASATL-1950-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-SATL","Atlantic Ocean"
"ALSKABSAI","sst.z",2,0.34546533544256,"positive_range_top_20_percent","Alaska skate Bering Sea and Aleutian Islands","AFSC-ALSKABSAI-1950-2020-SISIMP2021-2","Bathyraja parmifera","Alaska skate","USA-NMFS-BSAI","US Alaska"
"ALSKABSAI","prodbest.divTB",4,0.977565604719598,"positive_range_top_20_percent","Alaska skate Bering Sea and Aleutian Islands","AFSC-ALSKABSAI-1950-2020-SISIMP2021-2","Bathyraja parmifera","Alaska skate","USA-NMFS-BSAI","US Alaska"
"ALSKABSAI","UdivUmsypref",9,0.743657100704873,"positive_range_top_20_percent","Alaska skate Bering Sea and Aleutian Islands","AFSC-ALSKABSAI-1950-2020-SISIMP2021-2","Bathyraja parmifera","Alaska skate","USA-NMFS-BSAI","US Alaska"
"ANCHMEDGSA6","sst.z",10,0.734008942733413,"positive_range_top_20_percent","Anchovy Northern Spain","STECF-ANCHMEDGSA6-2002-2009-OSIO","Engraulis encrasicolus","Anchovy","multinational-GFCM-GSA6","Mediterranean-Black Sea"
"ANCHMEDGSA6","prodbest.divTB",4,0.575568806438921,"positive_range_top_20_percent","Anchovy Northern Spain","STECF-ANCHMEDGSA6-2002-2009-OSIO","Engraulis encrasicolus","Anchovy","multinational-GFCM-GSA6","Mediterranean-Black Sea"
"ANCHMEDGSA6","UdivUmsypref",6,0.984873716779234,"positive_range_top_20_percent","Anchovy Northern Spain","STECF-ANCHMEDGSA6-2002-2009-OSIO","Engraulis encrasicolus","Anchovy","multinational-GFCM-GSA6","Mediterranean-Black Sea"
