"id_timeseries","var_cause","var_consequence","causality","rho_simplex_cons","positive_rho_simplex_cons","test_above_surr","test_kendall_tau","kendall_tau","kendall_pval","rho_max","stocklong","assessid","scientificname","commonname","areaid","region"
"ALBANATL","sst.z","prodbest.divTB","No",0.464311354704804,TRUE,FALSE,TRUE,0.915789425373077,0,0.247879307643706,"Albacore tuna Northern Atlantic","ICCAT-ALBANATL-1930-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-NATL","Atlantic Ocean"
"ALBANATL","UdivUmsypref","prodbest.divTB","No",0.464311354704804,TRUE,FALSE,FALSE,0.22105261683464,0.183447241783142,0.172685179278894,"Albacore tuna Northern Atlantic","ICCAT-ALBANATL-1930-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-NATL","Atlantic Ocean"
"ALBANATL","prodbest.divTB","sst.z","No",0.672833062954344,TRUE,FALSE,TRUE,0.431578904390335,0.00858914852142334,0.131259629392031,"Albacore tuna Northern Atlantic","ICCAT-ALBANATL-1930-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-NATL","Atlantic Ocean"
"ALBANATL","prodbest.divTB","UdivUmsypref","No",0.763981948040356,TRUE,FALSE,TRUE,0.821052551269531,4.76837158203125e-07,0.243316695677305,"Albacore tuna Northern Atlantic","ICCAT-ALBANATL-1930-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-NATL","Atlantic Ocean"
"ALBASATL","sst.z","prodbest.divTB","No",0.9873083641783,TRUE,FALSE,FALSE,-0.884210467338562,6.02034617713798e-08,0.555659832988558,"Albacore tuna South Atlantic","ICCAT-ALBASATL-1950-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-SATL","Atlantic Ocean"
"ALBASATL","UdivUmsypref","prodbest.divTB","No",0.9873083641783,TRUE,FALSE,TRUE,0.96842098236084,0,0.831898337853063,"Albacore tuna South Atlantic","ICCAT-ALBASATL-1950-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-SATL","Atlantic Ocean"
"ALBASATL","prodbest.divTB","sst.z","No",0.692783722165152,TRUE,FALSE,TRUE,0.789473593235016,1.31130218505859e-06,0.793472395580751,"Albacore tuna South Atlantic","ICCAT-ALBASATL-1950-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-SATL","Atlantic Ocean"
"ALBASATL","prodbest.divTB","UdivUmsypref","Yes",0.861038333048327,TRUE,TRUE,TRUE,0.442105233669281,0.00708389282226562,0.935392805540076,"Albacore tuna South Atlantic","ICCAT-ALBASATL-1950-2015-PONS","Thunnus alalunga","Albacore tuna","multinational-ICCAT-SATL","Atlantic Ocean"
"ALSKABSAI","sst.z","prodbest.divTB","No",0.977565604719598,TRUE,FALSE,TRUE,0.978947281837463,0,0.417235956297172,"Alaska skate Bering Sea and Aleutian Islands","AFSC-ALSKABSAI-1950-2020-SISIMP2021-2","Bathyraja parmifera","Alaska skate","USA-NMFS-BSAI","US Alaska"
"ALSKABSAI","UdivUmsypref","prodbest.divTB","Yes",0.977565604719598,TRUE,TRUE,TRUE,0.999999940395355,0,0.767771626320835,"Alaska skate Bering Sea and Aleutian Islands","AFSC-ALSKABSAI-1950-2020-SISIMP2021-2","Bathyraja parmifera","Alaska skate","USA-NMFS-BSAI","US Alaska"
