"stockid","stocklong","scientificname","var_cause","var_consequence","causality","CCM_test_above_surrogates","CCM_kendall_tau","CCM_kendall_pval","S_map_mean_coef","S_map_mean_ttest_pval","S_map_trend_slope","S_map_trend_pval","S_map_trend_R2"
"ALBANATL","Albacore tuna Northern Atlantic","Thunnus alalunga","SST","SProd","No",FALSE,0.915789425373077,0,NA,NA,NA,NA,NA
"ALBANATL","Albacore tuna Northern Atlantic","Thunnus alalunga","HRate","SProd","No",FALSE,0.22105261683464,0.183447241783142,NA,NA,NA,NA,NA
"ALBANATL","Albacore tuna Northern Atlantic","Thunnus alalunga","SProd","SST","No",FALSE,0.431578904390335,0.00858914852142334,NA,NA,NA,NA,NA
"ALBANATL","Albacore tuna Northern Atlantic","Thunnus alalunga","SProd","HRate","No",FALSE,0.821052551269531,4.76837158203125e-07,NA,NA,NA,NA,NA
"ALBASATL","Albacore tuna South Atlantic","Thunnus alalunga","SST","SProd","No",FALSE,-0.884210467338562,6.02034617713798e-08,NA,NA,NA,NA,NA
"ALBASATL","Albacore tuna South Atlantic","Thunnus alalunga","HRate","SProd","No",FALSE,0.96842098236084,0,NA,NA,NA,NA,NA
"ALBASATL","Albacore tuna South Atlantic","Thunnus alalunga","SProd","SST","No",FALSE,0.789473593235016,1.31130218505859e-06,NA,NA,NA,NA,NA
"ALBASATL","Albacore tuna South Atlantic","Thunnus alalunga","SProd","HRate","Yes",TRUE,0.442105233669281,0.00708389282226562,0.550505058568586,0.000242487200860503,0.0313830733711079,7.77858135594517e-05,0.245134032775275
"ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands","Bathyraja parmifera","SST","SProd","No",FALSE,0.978947281837463,0,NA,NA,NA,NA,NA
"ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands","Bathyraja parmifera","HRate","SProd","Yes",TRUE,0.999999940395355,0,0.0298517233700859,1.45189773086413e-10,-0.00124182930007099,1.16060675815281e-11,0.538503950072565
"ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands","Bathyraja parmifera","SProd","SST","No",FALSE,-0.810526251792908,6.90646800194372e-07,NA,NA,NA,NA,NA
"ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands","Bathyraja parmifera","SProd","HRate","Yes",TRUE,0.936842024326324,0,0.147166891727413,2.57584019729078e-51,0.000170015668333069,0.281992738037403,0.0210126691960893
"ANCHMEDGSA6","Anchovy Northern Spain","Engraulis encrasicolus","SST","SProd","No",FALSE,0.905263066291809,0,NA,NA,NA,NA,NA
