"stockid","stocklong","assessid","scientificname","commonname","areaid","region"
"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
"ALBASPAC","Albacore tuna South Pacific Ocean","SPC-ALBASPAC-1960-2010-PONS","Thunnus alalunga","Albacore tuna","multinational-WCPFC-SPAC","Pacific Ocean"
"ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2010-STACHURA","Pleuronectes quadrituberculatus","Alaska plaice","USA-NMFS-BSAI","US Alaska"
"ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands","AFSC-ALSKABSAI-1950-2020-SISIMP2021-2","Bathyraja parmifera","Alaska skate","USA-NMFS-BSAI","US Alaska"
"AMPL5YZ","American plaice Gulf of Maine / Georges Bank","NEFSC-AMPL5YZ-1960-2010-HIVELY","Hippoglossoides platessoides","American plaice","USA-NMFS-5YZ","US East Coast"
"ARFLOUNDBSAI","Arrowtooth flounder Bering Sea and Aleutian Islands","AFSC-ARFLOUNDBSAI-1970-2010-STACHURA","Atheresthes stomias","Arrowtooth flounder","USA-NMFS-BSAI","US Alaska"
"ARFLOUNDGA","Arrowtooth flounder Gulf of Alaska","AFSC-ARFLOUNDGA-1958-2010-STACHURA","Atheresthes stomias","Arrowtooth flounder","USA-NMFS-GA","US Alaska"
"ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Atheresthes stomias","Arrowtooth flounder","USA-NMFS-PCOAST","US West Coast"
"ATBTUNAEATL","Atlantic bluefin tuna Eastern Atlantic","ICCAT-ATBTUNAEATL-1950-2015-PONS","Thunnus thynnus","Atlantic bluefin tuna","multinational-ICCAT-EATL","Atlantic Ocean"
"ATHAL3NOPs4VWX5Zc","Atlantic halibut Scotian Shelf and Southern Grand Banks","DFO-ATHAL3NOPs4VWX5Zc-1970-2014-WATSON","Hippoglossus hippoglossus","Atlantic halibut","Canada-DFO-3NOPs4VWX5Zc","Canada East Coast"
"ATKABSAI","Atka mackerel Bering Sea and Aleutian Islands","AFSC-ATKABSAI-1976-2011-STACHURA","Pleurogrammus monopterygius","Atka mackerel","USA-NMFS-BSAI","US Alaska"
"AUROCKPCOAST","Aurora rockfish Pacific Coast","NWFSC-AUROCKPCOAST-1916-2013-SISIMP2016","Sebastes aurora","Aurora rockfish","USA-NMFS-PCOAST","US West Coast"
"AUSSALMONNZ","Australian salmon New Zealand","NIWA-AUSSALMONNZ-1929-2013-FU","Arripis trutta","Australian salmon","New Zealand-MFish-NZ","New Zealand"
"BGRDRNSWWA","Blue grenadier New South Wales to Western Australia","CSIRO-BGRDRNSWWA-1960-2020-MOESENEDER","Macruronus novaezelandiae","Blue grenadier","Australia-AFMA-NSWWA","Australia"
"BGROCKPCOAST","Blackgill rockfish Pacific Coast","NWFSC-BGROCKPCOAST-1950-2011-STACHURA","Sebastes melanostomus","Blackgill rockfish","USA-NMFS-PCOAST","US West Coast"
"BIGEYECWPAC","Bigeye tuna Central Western Pacific Ocean","SPC-BIGEYECWPAC-1952-2012-PONS","Thunnus obesus","Bigeye tuna","multinational-WCPFC-CWPAC","Pacific Ocean"
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","IATTC-BIGEYEEPAC-1954-2012-PONS","Thunnus obesus","Bigeye tuna","multinational-IATTC-EPAC","Pacific Ocean"
"BIGHTREDSE","Bight redfish Southeast Australia","CSIRO-BIGHTREDSE-1958-2007-FULTON","Centroberyx gerrardi","Bight redfish","Australia-AFMA-SE","Australia"
"BKCDLFENI","Black cardinalfish East coast of North Island","NIWA-BKCDLFENI-1923-2009-CORDUE","Epigonus telescopus","Black cardinalfish","New Zealand-MFish-ENI","New Zealand"
"BLACKROCKCAL","Black rockfish California","SWFSC-BLACKROCKCAL-1916-2019-SISIMP2021-2","Sebastes melanops","Black rockfish","USA-NMFS-CAL","US West Coast"
"BLACKROCKORECOAST","Black rockfish Oregon Coast","NWFSC-BLACKROCKORECOAST-1892-2019-SISIMP2021-2","Sebastes melanops","Black rockfish","USA-NMFS-ORECOAST","US West Coast"
"BLACKROCKWASH","Black rockfish Washington","NWFSC-BLACKROCKWASH-1940-2019-SISIMP2021-2","Sebastes melanops","Black rockfish","USA-NMFS-WASH","US West Coast"
"BLUEROCKCAL","Blue rockfish California","NWFSC-BLUEROCKCAL-1916-2007-BRANCH","Sebastes mystinus","Blue rockfish","USA-NMFS-CAL","US West Coast"
"BMARLINPAC","Blue marlin Pacific Ocean","ISC-BMARLINPAC-1952-2011-PONS","Makaira nigricans","Blue marlin","multinational-ISC-PAC","Pacific Ocean"
"BNSNZ","Bluenose New Zealand","NZMFishINSHOREWG-BNSNZ-1935-2011-CORDUE","Hyperoglyphe antarctica","Bluenose","New Zealand-MFish-NZ","New Zealand"
"BOCACCBCW","Bocaccio British Columbia Waters","DFO-PAC-BOCACCBCW-1935-2012-CHING","Sebastes paucispinis","Bocaccio","Canada-DFO-BCW","Canada West Coast"
"BOCACCSPCOAST","Bocaccio Southern Pacific Coast","PFMC-BOCACCSPCOAST-1930-2009-CHING","Sebastes paucispinis","Bocaccio","USA-NMFS-SPCOAST","US West Coast"
"BWHITNEA","Blue whiting Northeast Atlantic","WGNPBW-BWHITNEA-1980-2012-CHING","Micromesistius poutassou","Blue whiting","multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV","European Union"
"CABEZNCAL","Cabezon Northern California","PFMC-CABEZNCAL-1930-2009-CHING","Scorpaenichthys marmoratus","Cabezon","USA-NMFS-NCAL","US West Coast"
"CABEZORECOAST","Cabezon Oregon Coast","NWFSC-CABEZORECOAST-1973-2009-STACHURA","Scorpaenichthys marmoratus","Cabezon","USA-NMFS-ORECOAST","US West Coast"
"CABEZSCAL","Cabezon Southern California","PFMC-CABEZSCAL-1930-2009-CHING","Scorpaenichthys marmoratus","Cabezon","USA-NMFS-SCAL","US West Coast"
