"id_timeseries","variable","E_opti","rho_opti","method_opti","stocklong","assessid","scientificname","commonname","areaid","region"
"ACADREDGOMGB","sst.z",4,0.781147866188657,"positive_range_top_20_percent","Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
"ACADREDGOMGB","R",5,0.998436882641112,"positive_range_top_20_percent","Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
"ACADREDGOMGB","UdivUmsypref",6,0.918015738604978,"positive_range_top_20_percent","Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
"ALBASPAC","sst.z",10,0.504472917021312,"positive_range_top_20_percent","Albacore tuna South Pacific Ocean","SPC-ALBASPAC-1960-2010-PONS","Thunnus alalunga","Albacore tuna","multinational-WCPFC-SPAC","Pacific Ocean"
"ALBASPAC","R",3,-0.0936750419226628,"max_rho","Albacore tuna South Pacific Ocean","SPC-ALBASPAC-1960-2010-PONS","Thunnus alalunga","Albacore tuna","multinational-WCPFC-SPAC","Pacific Ocean"
"ALBASPAC","UdivUmsypref",4,0.71001377223274,"positive_range_top_20_percent","Albacore tuna South Pacific Ocean","SPC-ALBASPAC-1960-2010-PONS","Thunnus alalunga","Albacore tuna","multinational-WCPFC-SPAC","Pacific Ocean"
"ALPLAICBSAI","sst.z",2,0.489174465376962,"positive_range_top_20_percent","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2010-STACHURA","Pleuronectes quadrituberculatus","Alaska plaice","USA-NMFS-BSAI","US Alaska"
"ALPLAICBSAI","R",2,0.311004724577622,"positive_range_top_20_percent","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2010-STACHURA","Pleuronectes quadrituberculatus","Alaska plaice","USA-NMFS-BSAI","US Alaska"
"ALPLAICBSAI","UdivUmsypref",2,0.398348591860396,"positive_range_top_20_percent","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2010-STACHURA","Pleuronectes quadrituberculatus","Alaska plaice","USA-NMFS-BSAI","US Alaska"
"ALSKABSAI","sst.z",6,0.420408118064552,"positive_range_top_20_percent","Alaska skate Bering Sea and Aleutian Islands","AFSC-ALSKABSAI-1950-2020-SISIMP2021-2","Bathyraja parmifera","Alaska skate","USA-NMFS-BSAI","US Alaska"
"ALSKABSAI","R",2,0.844000831207527,"positive_range_top_20_percent","Alaska skate Bering Sea and Aleutian Islands","AFSC-ALSKABSAI-1950-2020-SISIMP2021-2","Bathyraja parmifera","Alaska skate","USA-NMFS-BSAI","US Alaska"
"ALSKABSAI","UdivUmsypref",6,0.707413239702742,"positive_range_top_20_percent","Alaska skate Bering Sea and Aleutian Islands","AFSC-ALSKABSAI-1950-2020-SISIMP2021-2","Bathyraja parmifera","Alaska skate","USA-NMFS-BSAI","US Alaska"
"AMPL5YZ","sst.z",3,0.649628022747619,"positive_range_top_20_percent","American plaice Gulf of Maine / Georges Bank","NEFSC-AMPL5YZ-1960-2010-HIVELY","Hippoglossoides platessoides","American plaice","USA-NMFS-5YZ","US East Coast"
"AMPL5YZ","R",6,0.159509539602959,"positive_range_top_20_percent","American plaice Gulf of Maine / Georges Bank","NEFSC-AMPL5YZ-1960-2010-HIVELY","Hippoglossoides platessoides","American plaice","USA-NMFS-5YZ","US East Coast"
