"id_timeseries","var_cause","var_consequence","causality","rho_simplex_cons","positive_rho_simplex_cons","test_above_surr","test_kendall_tau","kendall_tau","kendall_pval","rho_max","stocklong","assessid","scientificname","commonname","areaid","region"
"ACADREDGOMGB","sst.z","R","Yes",0.998436882641112,TRUE,TRUE,TRUE,0.989473581314087,0,0.841091974648677,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
"ACADREDGOMGB","UdivUmsypref","R","Yes",0.998436882641112,TRUE,TRUE,TRUE,0.999999940395355,0,0.951938557816852,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
"ACADREDGOMGB","R","sst.z","No",0.781147866188657,TRUE,TRUE,FALSE,-0.431578904390335,0.00858917646110058,0.688908421412107,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
"ACADREDGOMGB","R","UdivUmsypref","Yes",0.918015738604978,TRUE,TRUE,TRUE,0.999999940395355,0,0.908187531593585,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
"ALBASPAC","sst.z","R","Not relevant",-0.0936750419226628,FALSE,FALSE,FALSE,-0.715789437294006,1.18690904855612e-05,0.00310304721421668,"Albacore tuna South Pacific Ocean","SPC-ALBASPAC-1960-2010-PONS","Thunnus alalunga","Albacore tuna","multinational-WCPFC-SPAC","Pacific Ocean"
"ALBASPAC","UdivUmsypref","R","Not relevant",-0.0936750419226628,FALSE,FALSE,FALSE,-0.210526302456856,0.205754071474075,0.0282658979135782,"Albacore tuna South Pacific Ocean","SPC-ALBASPAC-1960-2010-PONS","Thunnus alalunga","Albacore tuna","multinational-WCPFC-SPAC","Pacific Ocean"
"ALBASPAC","R","sst.z","No",0.504472917021312,TRUE,FALSE,TRUE,0.431578904390335,0.00858914852142334,0.151226870261107,"Albacore tuna South Pacific Ocean","SPC-ALBASPAC-1960-2010-PONS","Thunnus alalunga","Albacore tuna","multinational-WCPFC-SPAC","Pacific Ocean"
"ALBASPAC","R","UdivUmsypref","No",0.71001377223274,TRUE,FALSE,FALSE,-0.778947293758392,1.84858106422325e-06,-0.0220859985987956,"Albacore tuna South Pacific Ocean","SPC-ALBASPAC-1960-2010-PONS","Thunnus alalunga","Albacore tuna","multinational-WCPFC-SPAC","Pacific Ocean"
"ALPLAICBSAI","sst.z","R","No",0.311004724577622,TRUE,FALSE,TRUE,0.673684179782867,3.77893447875977e-05,0.265920483940505,"Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2010-STACHURA","Pleuronectes quadrituberculatus","Alaska plaice","USA-NMFS-BSAI","US Alaska"
"ALPLAICBSAI","UdivUmsypref","R","No",0.311004724577622,TRUE,FALSE,TRUE,0.821052551269531,4.76837158203125e-07,0.228144987076153,"Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2010-STACHURA","Pleuronectes quadrituberculatus","Alaska plaice","USA-NMFS-BSAI","US Alaska"
