"time","strength","rho","var_cause","var_consequence","id_timeseries","theta","Observations","Predictions","Pred_Variance","stocklong","assessid","scientificname","commonname","areaid","region"
1915,NA,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29215607844551,NA,NA,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1916,-0.00143200266982505,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.292121282813,1.2912933792263,0.109699690449627,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1917,-0.00112607642957187,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29209808572466,1.29202246990904,0.164409050970936,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1918,-0.00100067043132723,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29215607844551,1.29184271675274,0.138035193313309,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1919,-0.0010658295282911,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29230106024763,1.29179132115497,0.120309123523086,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1920,-0.00104062369126404,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.2925040347706,1.29239269630339,0.139043656258595,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1921,-0.0011991018740718,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29277660055858,1.29234257396426,0.115384898812934,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1922,9.76468185354859e-05,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29310135979533,1.29113777296826,0.160947506969728,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1923,-0.00150343490121293,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29344931612042,1.29301751939892,0.109312831615444,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1924,-0.00110143501121037,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29380887098968,1.29403084393188,0.138934533239534,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1925,-0.00103095780528169,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29420322149144,1.29435431845103,0.132530843859162,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1926,-0.0019432957796341,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29460917053738,1.29385345682533,0.10981766917445,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1927,-0.00113073987760454,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29501511958331,1.2954222633625,0.138551465094985,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1928,-0.00161732539902924,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29542106862925,1.2951352084126,0.109299805661936,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1929,-0.00209993255916222,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29583281694727,1.29497759781036,0.111196023085106,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1930,-0.00237404672017,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29620976963278,1.29476428825605,0.11617512869928,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
